# Web server load statistics 
# Plot parameters follow:
#
# set title "Web server activity"
# set xlab  "time (min)"
# set ylab  "load avg"
# set ymin  0.0
# set ymax  5.0
# set dx    0.083333
# set nfilt 128
#
# Machines: dejanews dejanews3 dejanews4 dejanews5

514 1.66 1.79 3.11 2.49
515 1.55 1.58 2.86 2.45
516 1.58 1.62 2.50 3.24
517 1.46 1.57 3.26 3.46
518 1.58 1.68 3.24 3.42
519 1.45 1.55 2.98 3.15
520 1.41 1.50 2.98 2.89
521 1.30 1.38 2.82 2.98
522 1.20 1.51 2.59 2.98
523 1.26 1.55 2.39 2.75
524 1.39 1.50 2.75 2.61
525 1.28 1.58 2.61 2.48
526 1.41 1.61 2.60 2.28
527 1.30 1.48 2.39 2.17
528 1.20 1.68 2.20 1.99
529 1.42 1.55 2.26 1.99
530 1.30 1.66 2.40 2.15
531 1.44 1.77 2.29 2.06
532 1.32 1.71 2.34 1.97
533 1.46 1.73 2.48 1.82
534 1.23 1.76 2.48 1.99
535 1.61 1.86 2.28 1.84
536 1.57 1.71 2.10 2.10
537 1.52 1.57 2.09 2.41
538 1.48 1.69 2.32 2.38
539 1.52 1.55 2.21 2.18
540 2.20 1.43 2.20 2.57
541 2.18 1.31 2.02 2.45
542 2.01 1.21 2.10 2.33
543 2.42 1.11 1.93 2.46
544 2.38 1.02 1.78 2.27
545 2.59 0.94 1.50 2.00
546 2.55 1.10 1.86 1.84
547 2.42 1.01 2.11 1.69
548 2.79 0.93 2.10 1.95
549 3.12 0.86 1.93 2.04
550 2.88 1.27 1.94 2.03
551 2.88 1.32 1.79 2.03
552 2.81 1.22 1.64 2.35
553 2.59 1.52 1.51 2.16
554 2.67 1.40 1.39 2.14
555 2.45 1.57 1.28 2.05
556 2.34 1.45 1.40 2.06
557 2.23 1.49 1.37 2.13
558 2.69 1.37 1.90 1.96
559 2.55 1.34 1.75 2.12
560 2.59 1.31 1.77 1.95
561 2.54 1.37 1.86 1.80
562 2.15 1.26 2.11 1.89
563 2.22 1.38 1.87 2.06
564 2.68 1.27 1.72 2.05
565 2.46 1.25 1.82 1.96
566 2.27 1.47 1.84 1.89
567 2.73 1.91 1.77 1.98
568 2.75 1.92 1.62 1.82
569 2.53 1.77 1.57 1.67
570 2.48 1.62 1.69 1.54
571 2.25 1.49 1.55 1.66
572 2.55 1.42 1.43 1.76
573 2.50 1.31 1.53 2.03
574 2.46 1.20 1.64 2.18
575 2.67 1.19 1.59 2.25
576 2.86 1.41 1.55 2.07
577 2.62 1.46 1.42 2.22
578 2.73 1.42 1.55 2.61
579 2.68 1.31 1.42 2.55
580 2.57 1.55 1.31 2.35
581 2.61 1.51 1.62 2.50
582 2.39 1.39 1.49 2.54
583 2.77 1.36 1.37 2.82
584 2.70 2.05 1.34 2.84
585 2.48 1.96 1.39 2.77
586 2.93 1.96 1.28 3.34
587 2.77 1.89 1.26 3.72
588 2.55 1.74 1.16 3.54
589 2.46 1.54 1.07 3.41
590 2.26 1.58 1.05 3.38
591 2.08 1.45 0.96 3.27
592 2.39 1.34 0.96 3.09
593 2.36 1.23 0.89 3.08
594 2.41 1.29 0.90 3.00
595 2.46 1.19 1.23 2.69
596 2.98 1.17 1.12 2.55
597 2.68 1.08 1.04 2.91
598 2.47 1.07 1.19 2.75
599 2.67 0.98 1.09 3.02
600 2.94 0.91 1.00 2.93
601 3.18 0.91 0.92 2.94
602 3.09 0.92 0.85 2.78
603 3.32 0.84 0.78 2.72
604 3.05 0.94 0.96 2.58
605 2.89 1.10 1.04 2.50
606 2.74 1.01 0.96 2.30
607 2.79 0.93 0.88 2.11
608 2.96 1.34 0.98 2.02
609 2.73 1.63 0.98 1.86
610 2.51 1.58 0.91 1.71
611 2.71 1.45 0.83 1.65
612 2.65 1.34 1.09 1.70
613 2.52 1.47 1.00 1.64
614 2.29 1.40 1.00 1.99
615 2.59 1.45 0.84 2.23
616 2.38 1.41 1.02 2.21
617 2.27 1.30 0.93 2.28
618 2.09 1.20 1.18 2.17
619 2.16 1.26 1.09 2.64
620 1.99 1.48 1.08 2.51
621 1.99 1.44 0.99 2.47
622 2.15 1.32 0.99 2.17
623 1.98 1.30 1.07 1.99
624 1.83 1.25 1.06 1.83
625 1.68 1.14 1.05 2.01
626 1.63 1.05 1.21 1.93
627 1.58 1.29 1.43 1.85
628 1.61 1.43 1.48 1.78
629 1.56 1.39 1.52 1.64
630 1.68 1.60 1.40 1.46
631 1.58 1.51 1.68 1.35
632 1.69 1.55 1.75 1.24
633 1.80 1.75 1.61 1.14
634 1.65 1.61 1.48 1.05
635 1.60 1.64 1.36 1.04
636 1.47 1.67 1.33 0.96
637 2.07 2.02 1.22 0.88
638 1.99 1.93 1.29 0.89
639 1.83 1.78 1.18 0.82
640 1.92 1.58 1.16 0.76
641 1.85 1.70 1.07 0.93
642 2.42 2.12 1.30 0.86
643 2.30 2.99 1.20 0.87
644 2.28 2.75 1.34 0.80
645 2.10 2.53 1.39 0.89
646 1.93 2.33 1.84 0.98
647 1.77 2.38 1.69 1.06
648 1.74 2.27 1.72 0.97
649 1.60 2.14 1.58 1.21
650 1.47 1.97 1.42 1.12
651 1.59 2.37 1.30 1.27
652 1.71 2.18 1.20 1.17
653 1.65 2.09 1.18 1.15
654 1.52 2.08 1.17 1.06
655 1.39 1.91 1.07 1.05
656 1.44 1.84 0.99 0.97
657 1.65 2.25 0.99 0.90
658 1.47 2.15 0.99 0.83
659 1.35 2.14 0.99 0.76
660 1.48 2.03 0.91 0.94
661 1.84 1.87 0.84 0.86
662 1.93 1.72 0.77 0.95
663 1.78 1.58 0.71 0.96
664 1.64 1.45 0.71 1.12
665 2.07 1.41 0.65 1.27
666 1.90 1.30 0.60 1.25
667 1.83 1.20 0.55 1.59
668 1.68 1.18 0.54 1.86
669 1.50 1.09 0.82 1.88
670 1.54 0.92 0.75 1.80
671 1.41 0.84 0.69 1.66
672 1.38 1.10 0.64 1.53
673 1.91 1.01 0.59 1.40
674 2.32 1.17 0.62 1.37
675 2.37 1.63 0.57 1.34
676 2.58 2.14 0.57 1.68
677 2.38 1.97 0.55 1.62
678 2.39 1.97 0.51 1.66
679 2.28 1.82 0.47 1.60
680 2.42 1.76 0.59 1.47
681 2.30 1.78 0.54 1.36
682 2.52 1.79 0.50 1.49
683 2.48 1.65 0.46 1.69
684 2.44 1.68 0.42 1.71
685 2.64 1.54 0.39 1.59
686 2.43 1.42 0.33 1.47
687 2.29 1.30 0.78 1.43
688 2.11 1.32 0.88 1.32
689 1.94 1.22 0.81 1.53
690 1.86 1.12 0.74 1.49
691 2.36 1.11 1.08 1.77
692 2.16 1.10 1.32 1.62
693 2.31 1.33 1.53 1.98
694 2.53 1.39 1.73 1.90
695 2.40 1.27 1.67 1.75
696 2.37 1.17 1.61 1.96
697 2.16 1.23 1.85 2.20
698 2.23 1.37 1.70 2.02
699 2.05 1.26 1.56 1.86
700 2.04 1.32 1.44 1.71
701 2.20 1.21 1.88 1.73
702 3.06 1.11 2.29 1.68
703 3.78 1.18 2.11 1.62
704 3.64 1.09 1.94 1.49
705 3.91 1.00 2.50 2.61
706 3.59 1.25 2.43 2.96
707 3.12 1.14 2.55 2.88
708 3.03 1.05 2.35 2.65
709 2.87 1.05 2.16 2.44
710 2.88 0.96 1.99 2.24
711 2.80 0.89 1.83 2.38
712 2.66 0.82 2.08 2.19
713 2.53 0.99 1.92 2.26
714 2.48 0.91 1.84 2.14
715 2.37 1.00 1.70 1.97
716 2.08 1.32 2.41 1.89
717 2.07 1.29 2.38 1.82
718 2.31 1.19 2.35 1.91
719 2.12 1.17 2.32 1.92
720 1.95 1.08 2.13 1.77
